lastmod,kind,file,title,url,sha256_html,html_bytes,pdf_bytes
2026-09-19,gospel,2026-09-19__gospel__gospel.pdf,Sacred Gospels of Barran Dodger — Prophetic Testimony Archive | Barran Dodger,https://barrandodger.com/gospel,a14f147909d2f48b36065c096715408802bd8edfb19b9aeaef556ca4762966b4,80011,2910
2026-09-19,gospel,2026-09-19__gospel__church.pdf,Church of Barran Dodger — Ministry &amp; Sacred Archive | Barran Dodger,https://barrandodger.com/church,49490ad5aadf486737e066cdb44e84bc5279e1422212bd9dcd07ee1542622d95,79855,2951
2026-09-19,gospel,2026-09-19__gospel__prophetic-papers.pdf,Prophetic Papers — Spiritual Testimony &amp; Divine Declaration | Barran Dodger,https://barrandodger.com/prophetic-papers,4ba7c98b72da6cf06a020a7aa3af6b94b542a4870d2eef35893df1a4611ff337,80136,2925
2026-09-19,gospel,2026-09-19__gospel__top-ten-gospels.pdf,Top 10 Gospels — Most Downloaded Sacred Texts | Barran Dodger,https://barrandodger.com/top-ten-gospels,f86b519d01b33a37fe2f4b37a12037466d37bce217f766ea3850339859ed9c81,79945,2881
2026-09-19,gospel,2026-09-19__gospel__creator-speaks.pdf,The Creator Speaks — Dr. Richard McLean's Direct Statement | Barran Dodger,https://barrandodger.com/creator-speaks,88c50687f75c21acae2344ef5e5af9a332d38638f674c621e5db180b70f4e079,80015,2804
2026-09-12,gospel,2026-09-12__gospel__testimony-that-was-already-written.pdf,The Testimony That Was Already Written — Prophetic Documentation | Barran Dodger,https://barrandodger.com/testimony-that-was-already-written,415c611f04a9ce4aa781dea93bbea154e08652a0f5302d42c07f2656bcb3a125,80586,3023
2026-09-12,gospel,2026-09-12__gospel__prophetic-declaration-biblical.pdf,Prophetic Declaration — Biblical Corroboration | Barran Dodger,https://barrandodger.com/prophetic-declaration-biblical,8ddc8ef95a580a997f3ed42fd760a71cc3c33c78df29305d702827dd113420f9,80236,2812
2026-09-12,gospel,2026-09-12__gospel__bloodline-of-god.pdf,Analysis — Bloodline of God: Divine Lineage &amp; Prophetic Mission | Barran Dodger,https://barrandodger.com/bloodline-of-god,086c81182cc0232b5e5d7640311af65d767a7d65f23f3dec9ff17682b87a6eca,83487,3008
2026-09-12,gospel,2026-09-12__gospel__the-last-god.pdf,Analysis — The Last God: Divine Declaration | Barran Dodger,https://barrandodger.com/the-last-god,75a0ebb00ad56a537fbc03dfeae737be301fd12b866756ecab811431aa79bfb9,83229,2809
2026-09-12,gospel,2026-09-12__gospel__god-will-make-you-famous.pdf,Analysis — God Will Make You Famous: The Rising Visibility Record | Barran Dodger,https://barrandodger.com/god-will-make-you-famous,ba9f876d6e18e9b89e4b78a1b2dc45ea84fdddac3af9d3d8a3b72a3c90b39528,83579,2885
2026-09-12,gospel,2026-09-12__gospel__earth-angel.pdf,Analysis — Earth Angel: The Spiritual Dimension of the Archive | Barran Dodger,https://barrandodger.com/earth-angel,adcadece17f596753775481d3b6eb95bfed8584af5261037fda01a8f1ce9e5d9,83381,2993
2026-09-12,gospel,2026-09-12__gospel__bloodline-betrayal.pdf,Bloodline Betrayal — The Family Collaboration Network | Barran Dodger,https://barrandodger.com/bloodline-betrayal,c804be0b72ba5930b378c79700fa41d9c8925061d0c44636cbebbc925acbbf24,83387,2961
2026-09-12,gospel,2026-09-12__gospel__gods-grace-barran-dodger.pdf,God's Grace — Barran Dodger's Testimony of Divine Protection | Barran Dodger,https://barrandodger.com/gods-grace-barran-dodger,ecbd663b38fe2a91cf37ed32e5fd25bc5b6b5a50d4a04f70db38f3fa311a75e9,80329,2796
2026-09-12,gospel,2026-09-12__gospel__god-has-my-back.pdf,God Has My Back When People Don't — Dr. Richard McLean | Barran Dodger,https://barrandodger.com/god-has-my-back,56eb20bd009d58f343d257fb29ca2539d69d5f4e9842b1cc46bac1f741ff0efb,80233,3037
2026-09-12,gospel,2026-09-12__gospel__holy-reckoning.pdf,Holy Reckoning — NDIS Provider Plea &amp; Documented Abuse | Barran Dodger,https://barrandodger.com/holy-reckoning,6f69ad9ccb95bd50f5107f711208fc0672e31038972252e67809b3727c278d2d,80186,3006
2026-09-12,gospel,2026-09-12__gospel__heaven-stood-for-you.pdf,"I DARE YOU TO PROVE ME WRONG | 2,304 Documents | Australian Government Corruption Exposed",https://barrandodger.com/heaven-stood-for-you,79f36e74cda295a0c1703ed89191e2049fa4bf9958ff6f6d57ef1db42f3e2646,80567,3097
2026-09-12,gospel,2026-09-12__gospel__divine-reckoning.pdf,Divine Reckoning — To Those Who Chose This | Barran Dodger,https://barrandodger.com/divine-reckoning,fc7bc64de7b9dcff3bf51f5e4546140c12b0778deb3caa423b72e36414bd8bd8,80115,2987
2026-09-12,gospel,2026-09-12__gospel__chosen-ones-your-story.pdf,Chosen Ones — Your Story: The Whistleblower's Testimony | Barran Dodger,https://barrandodger.com/chosen-ones-your-story,64d37fb3a200e48ef80cc9972eb43d13de3817b9bb51fdd7d5d08bc30fea3585,80163,2816
2026-09-12,gospel,2026-09-12__gospel__every-secret-chooses-a-side.pdf,Every Secret Chooses a Side — Forensic Analysis #76 | Barran Dodger,https://barrandodger.com/every-secret-chooses-a-side,441c1cbf3aaa438a20680c6c02cd4f9ab5c47a5f491dbf71ee4f71c1552d6f2e,80284,2963
2026-09-12,gospel,2026-09-12__gospel__heaven-exposes-the-sister.pdf,Heaven Exposes the Sister — Forensic Analysis | Barran Dodger,https://barrandodger.com/heaven-exposes-the-sister,10c871df462527018a35d96a4258108da7859755b5834bbb43be2121eb3d23c4,80133,2941
2026-09-12,gospel,2026-09-12__gospel__when-heaven-goes-silent.pdf,When Heaven Goes Silent — Forensic Analysis | Barran Dodger,https://barrandodger.com/when-heaven-goes-silent,40e736658ddf7ad09873825e6579b45e4d49db209e9810486967d0c03e9e7e0e,79991,2877
2025-06-01,publication,2025-06-01__publication__administrative-annihilation.pdf,"Administrative Annihilation — 25+ Agencies, Coordinated Circular Referral | Barran Dodger",https://barrandodger.com/administrative-annihilation,1f12f17623f0890e0479ab6bd4cf6f3c30ba124980f19cc5477f09e9cc482f64,80620,3046
2025-06-01,publication,2025-06-01__publication__retrospective-statement.pdf,Retrospective Statement — Looking Back Across 35 Years | Barran Dodger,https://barrandodger.com/retrospective-statement,1ac339d461d02261b5f3e9f70d6a2362558c8084e192ef6ef7eec2dcc52a6dc6,80321,2811
2025-07-01,publication,2025-07-01__publication__beyond-pathology.pdf,"I DARE YOU TO PROVE ME WRONG | 2,304 Documents | Australian Government Corruption Exposed",https://barrandodger.com/beyond-pathology,1c34755761fef15a85675579fd29c95788f49bea6ff83ea35f00d4f4efac25cd,80499,3097
2025-08-01,publication,2025-08-01__publication__master-evidence-register.pdf,"Master Evidence Register — 2,304 Classified Documents | Barran Dodger",https://barrandodger.com/master-evidence-register,d0b5a335b0381847ef8dd4af95dbf700e035ddc0f56ef5fe71d4d94c9cc7b912,83153,3010
2025-11-26,publication,2025-11-26__publication__quiet-storm-download.pdf,"I DARE YOU TO PROVE ME WRONG | 2,304 Documents | Australian Government Corruption Exposed",https://barrandodger.com/quiet-storm-download,0e5c36592bcd4c226b753c6cecd38b88492a5c17ad9347c24196bcc0a5684d61,80567,3101
2025-12-01,publication,2025-12-01__publication__they-fumbled-you-download.pdf,Analysis — They Fumbled You: Every Suppression Move Became Evidence | Barran Dodger,https://barrandodger.com/they-fumbled-you-download,2cb3000c46ce0be5819c57e9f2e84cd26a2647811f1280099ce72436fc0f5b9b,80430,3177
2025-12-01,publication,2025-12-01__publication__confession-choked-on-download.pdf,"I DARE YOU TO PROVE ME WRONG | 2,304 Documents | Australian Government Corruption Exposed",https://barrandodger.com/confession-choked-on-download,06e38657643715c02d32eb05fd6a53d8994a93a1cf67da5aa539f9e85ac24a9f,80720,3105
2025-12-01,publication,2025-12-01__publication__cosmic-essay.pdf,"I DARE YOU TO PROVE ME WRONG | 2,304 Documents | Australian Government Corruption Exposed",https://barrandodger.com/cosmic-essay,9aeb30acfe519f92e759f03f999647599561278a6cfdcc278de722093a62503d,80431,3090
2026-09-19,publication,2026-09-19__publication__publications.pdf,"Publications — 30 AI-Analysed Documents, 491,000+ Downloads | Barran Dodger",https://barrandodger.com/publications,f021c4face0051d66e5c7bfefce6a5bfbe5fbfcb4045e733cd87700e32bad6cb,85139,3012
2026-09-19,publication,2026-09-19__publication__evidence-significance-registry.pdf,Evidence Archive — 8 Primary Exhibits A–H | Barran Dodger,https://barrandodger.com/evidence-significance-registry,3e9e65d055511b06caa987f1e6048e517019e98ebf766ee48fca6126bddd948e,80287,2857
2025-09-01,publication,2025-09-01__publication__master-forensic-evidence-report.pdf,Master Forensic Evidence Report — Complete Case Documentation | Barran Dodger,https://barrandodger.com/master-forensic-evidence-report,454c76500c0ff7483c9d32fee1f92d0f5aaf5c20de694e27040b59ceeaf08fa2,80481,3025
2025-10-01,publication,2025-10-01__publication__forensic-meltdown-report.pdf,Forensic Meltdown Report — The Case That Cannot Be Contained | Barran Dodger,https://barrandodger.com/forensic-meltdown-report,c8d1fb031e3d00e946680e0d123621d3f35c72c6d05427e09aa167e80d5458f5,80320,3015
2025-11-01,publication,2025-11-01__publication__100-absurdities.pdf,100 Absurdities — The Documented Impossibility of Coincidence | Barran Dodger,https://barrandodger.com/100-absurdities,5a11ec97631d8add41f3973cbaf09d79658044caf59ca079b28f756e727a034b,80128,2985
2025-11-01,publication,2025-11-01__publication__33rd-degree-shadow-analysts.pdf,33rd Degree Shadow Analysts — The Intelligence Architecture | Barran Dodger,https://barrandodger.com/33rd-degree-shadow-analysts,6e0485d36528e340e58ddc607b0af05aec3904169641ceef407e69253e0c1100,80392,3001
2025-12-01,publication,2025-12-01__publication__archive-report.pdf,"Archive Report — 2,304 Documents, 491,000+ Downloads | Barran Dodger",https://barrandodger.com/archive-report,9e9f1635de82eab904122ce640aec13f0d41451a6c854eade1a25724a6f4548b,80078,2983
2025-12-01,publication,2025-12-01__publication__ai-justice-statement.pdf,AI Justice Statement — Independent Artificial Intelligence Corroboration | Barran Dodger,https://barrandodger.com/ai-justice-statement,56f2739761e8fc095fabc9d116281a5cd9f1864cc7ddd7b78a97f3d3195263dd,80510,3047
2025-12-01,publication,2025-12-01__publication__taxpayer-cost-analysis.pdf,Taxpayer Cost Analysis — $32.9M in Documented Suppression | Barran Dodger,https://barrandodger.com/taxpayer-cost-analysis,08ebb133113c9ce14b05f359f76b24b649bab023d46c49d60a43514bd9c50cb6,80283,2991
